question,keywords
Tell me about yourself.,"background, education, skills, interests"
Describe a time you worked in a team.,"teamwork, collaboration, role, project"
How do you handle conflict at work?,"resolve, communication, listen, calm"
Describe a time you failed. What did you learn?,"mistake, lesson, improve, feedback"
What motivates you?,"goal, passion, achievement, success"
What are your strengths and weaknesses?,"strength, weakness, improve, confident"
How do you prioritize tasks?,"schedule, deadline, urgent, important"
Tell me about a time you showed leadership.,"lead, decision, team, responsibility"
How do you manage stress or pressure?,"stress, deadline, calm, handle"
Give an example of a goal you set and achieved.,"goal, plan, success, milestone"
What is object-oriented programming?,"class, object, inheritance, polymorphism"
Explain polymorphism with an example.,"override, inheritance, function, dynamic"
What is recursion?,"base case, function call, stack"
Difference between list and tuple in Python.,"mutable, immutable, index, data structure"
What are the four pillars of OOP?,"encapsulation, abstraction, inheritance, polymorphism"
What is the difference between a stack and a queue?,"LIFO, FIFO, push, pop"
Explain how a hash table works.,"key, value, collision, hashing"
What is a binary search tree?,"node, left, right, traversal"
Time complexity of searching in an array.,"O(n), O(log n), complexity, linear, binary"
When would you use a linked list?,"node, pointer, memory, dynamic"
What is normalization in databases?,"redundancy, normalization, normal form"
Difference between INNER JOIN and OUTER JOIN.,"join, match, table, condition"
What is a primary key and foreign key?,"unique, identifier, reference"
How do indexes work in SQL?,"speed, query, search, performance"
What are ACID properties?,"atomicity, consistency, isolation, durability"
What is REST API?,"request, response, endpoint, method"
Difference between GET and POST.,"read, write, method, body"
What is CORS and why is it needed?,"origin, security, cross-domain"
How do you secure an API?,"authentication, token, JWT, HTTPS"
Explain the MVC architecture.,"model, view, controller, structure"
What is the difference between supervised and unsupervised learning?,"label, data, classification, clustering"
Explain overfitting and underfitting.,"generalization, training, bias, variance"
What is a confusion matrix?,"true positive, false negative, accuracy"
How does a decision tree work?,"split, feature, entropy, node"
What is cross-validation?,"k-fold, test, training, split"
What would you do if you were stuck on a problem?,"ask, research, try, solve"
"If you disagreed with your manager, how would you respond?","respect, explain, perspective, decision"
How would you deal with a team member not contributing?,"talk, encourage, collaborate, support"
You’re given a tight deadline — how do you manage?,"prioritize, task, focus, deliver"
